instance,solution,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,abcdsat,mergehordesatparallel,plingeling
sc-2021/20-100-frag12-14_sat.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/puzzle39_sat.cnf.xz,SATISFIABLE,,SATISFIABLE,SATISFIABLE,,,,,,SATISFIABLE,SATISFIABLE
sc-2021/vlsat2_702_14170.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,,,,,SATISFIABLE,SATISFIABLE
sc-2021/spg_300_300.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/mp1-blockpuzzle_5x12_s6_free3.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/mp1-bsat210-739.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/spg_200_301.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/string_compare_safety_cbmc_unwinding_700.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/crafted_n12_d6_c3_num18.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/SC21_Timetable_C_140_E_32_Cl_30_S_10.cnf.xz,,,,,,,,,,,
sc-2021/dist10.c.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/WS_400_16_90_70.apx_0.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-526-420.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/ctl_4201_555_unsat.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/string_compare_safety_cbmc_unwinding_690.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/bvsmod_18.smt2.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,,UNSATISFIABLE
sc-2021/mp1-blockpuzzle_5x10_s5_free3.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/73.smt2.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/maximum_constrained_partition_14_bits_n200.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/SE_PR_WS_500_16_70_10.apx_0.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/quad_res_r21_m22.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/sokoban-p20.sas.cr.27.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/n320p5q2_n.apx_17.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/ER_500_40_2.apx_0.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/crafted_n12_d6_c3_num28.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/b2005-p1-12x12c10h7-Ser5-0.cnf.xz,,,,,,,,,,,
sc-2021/sp5-21-15-una-stri-flat-noid.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/LABS_n089_goal008.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,,SATISFIABLE,SATISFIABLE
sc-2021/battleship-12-12-unsat.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/puzzle47_sat.cnf.xz,,,,,,,,,,,
sc-2021/Circuit_multiplier45.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/sp5-26-19-bin-nons-tree-noid.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/Kakuro-easy-045-ext.xml.hg_4.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-470-105.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/HCP-529-60.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf.xz,,,,,,,,,,,
sc-2021/string_compare_safety_cbmc_unwinding_730.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE
sc-2021/rphp4_080_shuffled.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE
sc-2021/edit_distance025_450.cnf.xz,SATISFIABLE,,SATISFIABLE,,,,,SATISFIABLE,SATISFIABLE,SATISFIABLE,
sc-2021/uum32.smt2.cnf.xz,,,,,,,,,,,
sc-2021/UCG-20-10p1-sc2009.cnf.xz,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE
sc-2021/b2005-p2-12x12c10h7-Ser7-0.cnf.xz,,,,,,,,,,,
sc-2021/maxor128.cnf.xz,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,UNSATISFIABLE,UNSATISFIABLE
sc-2021/randomG-n20-d05.cnf.xz,UNSATISFIABLE,,,UNSATISFIABLE,,,,,,,UNSATISFIABLE
